[	PUNCT	[
aussi	ADV	aussi
bien	ADV	bien
qu'	CONJ	que
aux	ADP	au
mauvaises	ADJ	mauvais
affaires	NOUN	affaire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sans	ADP	sans
doute	NOUN	doute
il	PRON	il
n'	ADV	ne
avait	VERB	avoir
pas	ADV	pas
nettement	ADV	nettement
déclaré	VERB	déclarer
qu'	CONJ	que
il	PRON	il
ne	ADV	ne
voulait	VERB	vouloir
point	ADV	point
être	VERB	être
commerçant	NOUN	commerçant
,	PUNCT	,
car	CONJ	car
il	PRON	il
n'	ADV	ne
était	VERB	être
point	ADV	point
dans	ADP	dans
son	PRON	son
caractère	NOUN	caractère
de	ADP	de
procéder	VERB	procéder
par	ADP	par
des	ADP	du
affirmations	NOUN	affirmation
de	ADP	de
ce	PRON	ce
genre	NOUN	genre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
D'	ADP	de
humeur	NOUN	humeur
douce	ADJ	doux
,	PUNCT	,
ayant	VERB	avoir
l'	DET	le
horreur	NOUN	horreur
des	ADP	du
discussions	NOUN	discussion
,	PUNCT	,
aimant	VERB	aimer
tendrement	ADV	tendrement
son	PRON	son
père	NOUN	père
et	CONJ	et
sa	PRON	son
mère	NOUN	mère
,	PUNCT	,
enfin	ADV	enfin
étant	VERB	être
habitué	VERB	habituer
depuis	ADP	depuis
son	PRON	son
enfance	NOUN	enfance
à	ADP	à
entendre	VERB	entendre
les	DET	le
espérances	NOUN	espérance
de	ADP	de
ses	PRON	son
parents	NOUN	parents
,	PUNCT	,
il	PRON	il
ne	ADV	ne
s'	PRON	se
était	VERB	être
pas	ADV	pas
senti	VERB	sentir
le	DET	le
courage	NOUN	courage
de	ADP	de
dire	VERB	dire
franchement	ADV	franchement
que	CONJ	que
la	DET	le
gloire	NOUN	gloire
d'	ADP	de
être	VERB	être
un	DET	un
Daguillon	NOUN	daguillon
ne	ADV	ne
l'	PRON	la|le
éblouissait	VERB	éblouir
pas	ADV	pas
,	PUNCT	,
et	CONJ	et
qu'	CONJ	que
il	PRON	il
ne	ADV	ne
sentait	VERB	sentir
pas	ADV	pas
la	DET	le
vocation	NOUN	vocation
nécessaire	ADJ	nécessaire
pour	ADP	pour
remplir	VERB	remplir
convenablement	ADV	convenablement
ce	PRON	ce
rôle	NOUN	rôle
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
,	PUNCT	,
ce	PRON	ce
qu'	PRON	que
il	PRON	il
n'	ADV	ne
avait	VERB	avoir
pas	ADV	pas
dit	VERB	dire
,	PUNCT	,
il	PRON	il
l'	PRON	la|le
avait	VERB	avoir
laissé	VERB	laisser
entendre	VERB	entendre
,	PUNCT	,
sinon	CONJ	sinon
en	ADP	en
paroles	NOUN	parole
,	PUNCT	,
au	ADP	au
moins	ADV	moins
en	ADP	en
actions	NOUN	action
,	PUNCT	,
par	ADP	par
ses	PRON	son
manières	NOUN	manière
d'	ADP	de
être	VERB	être
avec	ADP	avec
les	DET	le
clients	NOUN	client
,	PUNCT	,
avec	ADP	avec
les	DET	le
employés	NOUN	employé
,	PUNCT	,
les	DET	le
ouvriers	NOUN	ouvrier
,	PUNCT	,
avec	ADP	avec
tous	PRON	tout
et	CONJ	et
dans	ADP	dans
toutes	PRON	tout
les	DET	le
circonstances	NOUN	circonstance
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Si	CONJ	si
M	VERB	m
.	PUNCT	.
et	CONJ	et
madame	NOUN	madame
Haupois-Daguillon	NOUN	haupois-daguillon
avaient	VERB	avoir
exigé	VERB	exiger
de	ADP	de
leur	PRON	leur
fils	NOUN	fil|fils
le	DET	le
zèle	NOUN	zèle
et	CONJ	et
l'	DET	le
exactitude	NOUN	exactitude
d'	ADP	de
un	DET	un
commis	NOUN	commis
ou	CONJ	ou
d'	ADP	de
un	DET	un
associé	NOUN	associé
,	PUNCT	,
ils	PRON	il
auraient	VERB	avoir
pu	VERB	pouvoir
s'	PRON	se
expliquer	VERB	expliquer
son	PRON	son
apathie	NOUN	apathie
et	CONJ	et
son	PRON	son
indifférence	NOUN	indifférence
par	ADP	par
la	DET	le
paresse	NOUN	paresse
;	PUNCT	;
mais	CONJ	mais
cette	PRON	ce
explication	NOUN	explication
n'	ADV	ne
était	VERB	être
malheureusement	ADV	malheureusement
pas	ADV	pas
possible	ADJ	possible
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Léon	NOUN	léon
n'	ADV	ne
était	VERB	être
pas	ADV	pas
paresseux	ADJ	paresseux
;	PUNCT	;
collégien	ADJ	collégien
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
figuré	VERB	figurer
parmi	ADP	parmi
les	DET	le
lauréats	NOUN	lauréat
du	ADP	du
grand	ADJ	grand
concours	NOUN	concours
;	PUNCT	;
élève	NOUN	élève
de	ADP	de
l'	DET	le
École	NOUN	école
de	ADP	de
droit	NOUN	droit
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
passé	VERB	passer
tous	PRON	tout
ses	PRON	son
examens	NOUN	examen
régulièrement	ADV	régulièrement
et	CONJ	et
avec	ADP	avec
de	ADP	de
bonnes	ADJ	bon
notes	NOUN	note
;	PUNCT	;
enfin	ADV	enfin
,	PUNCT	,
dans	ADP	dans
l'	DET	le
atelier	NOUN	atelier
où	PRON	où
il	PRON	il
avait	VERB	avoir
appris	VERB	apprendre
le	DET	le
dessin	NOUN	dessin
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
acquis	VERB	acquérir
une	DET	un
habileté	NOUN	habileté
et	CONJ	et
une	DET	un
sûreté	NOUN	sûreté
de	ADP	de
main	NOUN	main
qu'	CONJ	que
une	DET	un
longue	ADJ	longue
application	NOUN	application
peut	VERB	pouvoir
seule	ADJ	seul
donner	VERB	donner
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Et	CONJ	et
puis	ADV	puis
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
part	NOUN	part
,	PUNCT	,
ce	PRON	ce
